id,start_date,name,distance,moving_time,elapsed_time,total_elevation_gain,type,start_date_local,average_speed,max_speed,average_cadence,average_heartrate,max_heartrate,suffer_score
9992748963,2023-10-07T10:26:03Z,Lunch Run,9661.0,2412,2475,7.9,Run,2023-10-07T12:26:03Z,4.005,7.522,82.5,163.9,194.0,51.0
9978823005,2023-10-04T17:19:04Z,Evening Run,4855.2,1271,1306,6.4,Run,2023-10-04T19:19:04Z,3.82,6.06,81.5,142.0,159.0,6.0
9969973183,2023-10-03T16:44:09Z,Getting a feel for it,9665.1,2436,2515,11.3,Run,2023-10-03T18:44:09Z,3.968,6.841,82.0,165.9,187.0,52.0
9963610405,2023-10-02T16:27:11Z,Evening Run,16113.2,5085,5340,32.0,Run,2023-10-02T18:27:11Z,3.169,6.568,79.1,152.1,189.0,53.0
9946661912,2023-09-30T05:47:15Z,Geneva Jog,3657.7,1071,1211,13.6,Run,2023-09-30T07:47:15Z,3.415,8.237,80.7,152.7,168.0,10.0
9938649368,2023-09-28T17:18:24Z,Halfway there,9672.5,2431,2589,5.3,Run,2023-09-28T19:18:24Z,3.979,5.706,82.9,169.1,190.0,65.0
9932912231,2023-09-27T16:50:08Z,Stomp stomp stomp,11274.4,3223,3311,18.7,Run,2023-09-27T18:50:08Z,3.498,5.326,81.4,144.2,159.0,15.0
9925603016,2023-09-26T17:17:58Z,Sluggish,6453.2,1903,2001,8.2,Run,2023-09-26T19:17:58Z,3.391,4.915,80.7,144.9,158.0,8.0
9919098322,2023-09-25T16:43:00Z,Brought to you by Lidl's bakery,16109.0,4412,4416,41.5,Run,2023-09-25T18:43:00Z,3.651,5.755,81.5,150.7,183.0,32.0
9914113150,2023-09-24T18:54:56Z,Evening Run,8075.1,2103,2109,9.3,Run,2023-09-24T20:54:56Z,3.84,8.892,80.3,164.8,181.0,45.0
9900003163,2023-09-22T17:15:27Z,Feeling Fit‼️,8056.7,2086,2090,9.2,Run,2023-09-22T19:15:27Z,3.862,7.292,81.6,164.3,192.0,43.0
9894034822,2023-09-21T16:45:07Z,Something to work towards,11625.8,3198,3246,19.7,Run,2023-09-21T18:45:07Z,3.635,6.108,81.3,167.7,185.0,75.0
9881746723,2023-09-19T18:23:29Z,Evening Run,4844.2,1370,1429,16.8,Run,2023-09-19T20:23:29Z,3.536,5.195,80.2,147.6,167.0,10.0
9874859270,2023-09-18T16:28:10Z,Amsterdam LSD,16101.4,4891,4964,32.7,Run,2023-09-18T18:28:10Z,3.292,7.108,80.1,152.4,192.0,45.0
9868918324,2023-09-17T16:06:52Z,Oof,6450.0,1597,1712,5.0,Run,2023-09-17T18:06:52Z,4.039,5.966,83.0,165.1,191.0,34.0
9858693282,2023-09-16T08:34:53Z,Morning Run,7279.2,2734,3003,7.0,Run,2023-09-16T10:34:53Z,2.662,9.954,77.5,138.8,151.0,10.0
